"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:33:54 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
03-07 12:34:54,193.0,1.400,1683456.0,22937.600,0.300,0.175,90.320,9.180,0.025,0.0,53080.0,49357.200,259919872.0,991232.0,324726784.0,30978437120.0
03-07 12:34:59,194.200,1.600,1664614.400,9830.400,0.325,0.175,90.673,8.802,0.025,0.0,58534.0,54414.800,259604480.0,991232.0,342073344.0,30961405952.0
03-07 12:35:04,184.0,0.600,1631846.400,3276.800,0.350,0.200,90.775,8.650,0.025,0.0,60208.0,56026.0,260038656.0,999424.0,358281216.0,30944755712.0
03-07 12:35:09,193.400,0.0,1697382.400,0.0,0.350,0.175,91.168,8.281,0.025,0.0,67071.600,62321.600,260284416.0,999424.0,375193600.0,30927597568.0
03-07 12:35:14,136.200,0.400,1233715.200,2457.600,0.275,0.150,90.027,9.523,0.025,0.0,47194.0,44200.400,260091904.0,1007616.0,386822144.0,30916153344.0
03-07 12:35:19,110.400,0.0,989593.600,0.0,0.225,0.100,89.745,9.905,0.025,0.0,40984.0,38414.800,260337664.0,1007616.0,396529664.0,30906200064.0
03-07 12:35:24,162.200,1.400,1510604.800,14745.600,0.350,0.175,90.773,8.677,0.025,0.0,61180.0,57090.0,259964928.0,1015808.0,410828800.0,30892265472.0
03-07 12:35:29,224.400,0.600,2134835.200,11468.800,0.475,0.250,92.271,6.978,0.025,0.0,87984.0,81608.0,260251648.0,1024000.0,430407680.0,30872391680.0
03-07 12:35:34,212.600,1.600,2036531.200,9011.200,0.475,0.225,92.248,7.027,0.025,0.0,87537.600,81356.400,260366336.0,1024000.0,448974848.0,30853709824.0
03-07 12:35:39,234.200,0.600,2378956.800,3276.800,0.525,0.225,92.673,6.527,0.050,0.0,95524.0,88644.800,260239360.0,1032192.0,470188032.0,30832615424.0
03-07 12:35:44,232.0,0.0,2375680.0,0.0,0.550,0.250,93.320,5.829,0.050,0.0,106702.0,98875.600,260001792.0,1032192.0,491012096.0,30812028928.0
03-07 12:35:49,227.800,0.400,2311782.400,2457.600,0.575,0.250,93.148,6.002,0.025,0.0,105282.400,97828.400,260329472.0,1040384.0,511119360.0,30791585792.0
03-07 12:35:54,238.800,0.800,2511667.200,4096.0,0.600,0.275,93.472,5.603,0.050,0.0,112372.0,104180.400,259940352.0,1040384.0,532676608.0,30770417664.0
03-07 12:35:59,224.800,0.600,2372403.200,11468.800,0.650,0.275,94.149,4.876,0.050,0.0,124414.0,115094.0,260304896.0,1048576.0,552882176.0,30749839360.0
03-07 12:36:04,196.800,0.0,2118451.200,0.0,0.575,0.225,93.520,5.629,0.050,0.0,112588.0,104297.200,260440064.0,1048576.0,570347520.0,30732238848.0
03-07 12:36:09,211.600,2.200,2252800.0,12288.0,0.725,0.275,94.597,4.352,0.050,0.0,135327.600,125118.0,260153344.0,1056768.0,589910016.0,30712954880.0
03-07 12:36:14,168.400,0.400,1705574.400,1638.400,0.675,0.275,94.150,4.850,0.050,0.0,126952.0,117498.800,260460544.0,1056768.0,605523968.0,30697033728.0
03-07 12:36:19,149.200,0.400,1535180.800,4096.0,0.576,0.200,93.619,5.581,0.025,0.0,112156.0,103923.600,260308992.0,1064960.0,619175936.0,30683525120.0
03-07 12:36:24,111.800,0.800,1145241.600,10649.600,0.525,0.225,92.602,6.598,0.050,0.0,96982.0,89916.400,260407296.0,1064960.0,629792768.0,30672809984.0
03-07 12:36:29,94.400,0.600,1017446.400,11468.800,0.500,0.175,92.721,6.553,0.050,0.0,97252.0,90114.0,260530176.0,1073152.0,639373312.0,30663098368.0
03-07 12:36:34,145.0,0.0,1528627.200,0.0,0.775,0.275,95.698,3.202,0.050,0.0,151090.0,139679.600,260632576.0,1073152.0,653447168.0,30648922112.0
03-07 12:36:39,115.0,0.400,1178009.600,2457.600,0.801,0.275,95.922,2.952,0.050,0.0,154978.0,143476.400,260423680.0,1081344.0,665534464.0,30637035520.0
03-07 12:36:44,93.400,0.0,937164.800,0.0,0.850,0.275,96.250,2.550,0.075,0.0,163294.0,150911.600,260714496.0,1081344.0,675483648.0,30626795520.0
03-07 12:36:49,86.800,2.400,848691.200,13107.200,0.901,0.300,97.173,1.551,0.075,0.0,177928.0,164304.400,260452352.0,1089536.0,685068288.0,30617464832.0
03-07 12:36:54,17.600,0.800,167936.0,4096.0,0.250,0.125,99.425,0.200,0.0,0.0,44674.400,41585.800,258985984.0,1089536.0,687423488.0,30616576000.0
03-07 12:36:59,0.0,0.600,0.0,12288.0,0.0,0.0,99.975,0.025,0.0,0.0,72.800,594.800,259239936.0,1097728.0,687423488.0,30616313856.0
03-07 12:37:04,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,57.600,426.400,259239936.0,1097728.0,687423488.0,30616313856.0
