"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:30:08 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
03-07 12:30:58,258.0,0.400,2257715.200,2457.600,0.400,0.225,90.045,9.305,0.025,0.0,89162.0,170165.200,261042176.0,2985984.0,320225280.0,30979821568.0
03-07 12:31:03,197.400,0.600,1699020.800,23756.800,0.375,0.175,89.697,9.727,0.025,0.0,74887.600,146768.800,261165056.0,2985984.0,337371136.0,30962552832.0
03-07 12:31:08,168.800,1.200,1471283.200,15564.800,0.325,0.175,89.472,10.003,0.025,0.0,69982.0,130339.600,261345280.0,2998272.0,352210944.0,30947520512.0
03-07 12:31:13,288.800,2.400,2606694.400,22118.400,0.575,0.275,91.068,8.056,0.025,0.0,127802.0,236958.0,261222400.0,3006464.0,377786368.0,30922059776.0
03-07 12:31:18,281.800,0.200,2587033.600,819.200,0.625,0.275,91.423,7.627,0.050,0.0,135502.0,255661.200,261451776.0,3006464.0,402141184.0,30897475584.0
03-07 12:31:23,262.600,0.400,2470707.200,2457.600,0.600,0.275,91.325,7.750,0.050,0.0,130952.0,244088.400,261267456.0,3014656.0,425332736.0,30874460160.0
03-07 12:31:28,267.400,0.0,2647654.400,0.0,0.626,0.275,91.642,7.432,0.025,0.0,140612.0,259964.400,261177344.0,3014656.0,449359872.0,30850523136.0
03-07 12:31:33,252.800,0.400,2547712.0,2457.600,0.625,0.250,92.021,7.054,0.050,0.0,137812.0,269918.0,261394432.0,3022848.0,471912448.0,30827745280.0
03-07 12:31:38,232.0,1.0,2352742.400,12288.0,0.625,0.275,91.571,7.479,0.050,0.0,141312.0,267397.200,261074944.0,3022848.0,492945408.0,30807031808.0
03-07 12:31:43,236.600,0.600,2357657.600,11468.800,0.675,0.275,91.848,7.177,0.025,0.0,149782.0,280686.400,261033984.0,3031040.0,513785856.0,30786224128.0
03-07 12:31:48,209.600,0.0,2195456.0,0.0,0.600,0.250,91.421,7.679,0.050,0.0,136041.200,252617.200,261144576.0,3031040.0,532484096.0,30767415296.0
03-07 12:31:53,201.200,2.400,2179072.0,13107.200,0.650,0.225,91.448,7.627,0.050,0.0,144350.0,255587.200,261304320.0,3039232.0,550744064.0,30748987392.0
03-07 12:31:58,225.800,0.400,2465792.0,2457.600,0.750,0.300,92.196,6.703,0.050,0.0,173110.0,328856.800,261300224.0,3047424.0,571486208.0,30728241152.0
03-07 12:32:03,166.800,0.0,1713766.400,0.0,0.625,0.225,91.321,7.804,0.025,0.0,137758.0,251708.800,261419008.0,3047424.0,586612736.0,30712995840.0
03-07 12:32:08,139.600,1.200,1486028.800,6553.600,0.575,0.225,91.246,7.904,0.050,0.0,131162.0,243594.0,261652480.0,3055616.0,599187456.0,30700179456.0
03-07 12:32:13,177.600,0.600,1853030.400,11468.800,0.825,0.275,92.823,6.027,0.050,0.0,186762.0,364053.600,261218304.0,3063808.0,615907328.0,30683885568.0
03-07 12:32:18,202.800,0.0,2120089.600,0.0,1.001,0.325,94.072,4.527,0.075,0.0,229372.0,418806.800,261394432.0,3063808.0,635142144.0,30664474624.0
03-07 12:32:23,163.600,0.400,1612185.600,2457.600,0.976,0.325,94.146,4.503,0.050,0.0,228672.0,433038.0,261468160.0,3072000.0,650821632.0,30648713216.0
03-07 12:32:28,143.400,0.400,1458176.0,1638.400,1.076,0.325,94.597,3.927,0.075,0.0,246382.0,452566.800,261906432.0,3072000.0,665034752.0,30634061824.0
03-07 12:32:33,110.600,2.200,1119027.200,13926.400,1.076,0.350,94.672,3.827,0.075,0.0,251562.0,456330.800,261574656.0,3080192.0,677851136.0,30621569024.0
03-07 12:32:38,71.400,0.800,738099.200,10649.600,0.825,0.300,95.923,2.876,0.075,0.0,190890.400,353068.200,260390912.0,3080192.0,685973504.0,30614630400.0
03-07 12:32:43,0.0,0.600,0.0,12288.0,0.0,0.0,99.950,0.050,0.0,0.0,52.0,424.400,260083712.0,3088384.0,685973504.0,30614929408.0
03-07 12:32:48,0.0,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,440.800,260116480.0,3088384.0,685973504.0,30614896640.0
03-07 12:32:53,0.0,0.400,0.0,2457.600,0.0,0.0,99.900,0.100,0.0,0.0,52.0,421.200,260108288.0,3096576.0,685973504.0,30614896640.0
03-07 12:32:58,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,62.400,440.800,260108288.0,3096576.0,685973504.0,30614896640.0
03-07 12:33:03,0.0,0.600,0.0,3276.800,0.0,0.0,100.0,0.0,0.0,0.0,52.0,421.200,260067328.0,3104768.0,685973504.0,30614929408.0
